"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30"
"sit11",3.1988107091497,1.96919064453006,2.43462285231333,2.93122736942168,3.39311110062488,3.92188583868832,3.24087103575573,2.46028066446224,2.45992491681075,0.168841409451832,0,3.8462677889484,3.09611001018095,2.20283301205128,1.85571066151356,4.13009588782866,3.02014687395895,3.42922873119827,3.76469885488423,3.62175645241739,2.94505272931398,2.80916349178304,2.83197448145529,2.16863716559025,1.72735681951273,3.29136335315574,2.53661411377733,2.10888048288365,2.32373386349118,3.26197630402465
"sit12",1.43198634277424,2.4915096093212,2.93534465439927,2.92056336350422,3.40770409440581,0.637507461620683,3.00969478915707,3.21808327074087,2.3879899838525,3.88037564048712,3.8462677889484,0,3.74587711002161,2.18569282634963,2.44962857991146,3.43467642641434,3.7150807561221,2.66039757770837,1.91287271715412,2.97627950357384,3.05964005305835,1.8965276188573,2.01976773631484,3.23889780098565,2.1646374189203,1.31268348386054,1.38964827572435,3.00542976023233,3.23929541814882,3.10264893208462
"sit13",2.32270112387256,1.69196287687315,0.958470497264955,0.827004162790773,0.565240839756624,3.31701934821066,0.833660126853892,0.741112678897078,1.45373477947043,2.96150104514237,3.09611001018095,3.74587711002161,0,1.8290322471297,1.8493396361358,1.32819713528918,0.0760141559023415,1.2783349822412,2.16803944683143,1.14095686812855,0.687694944552813,1.85933626556176,1.73001642092615,0.978824407327296,2.51849354855585,2.45103734236495,2.67814280543991,1.14976524680947,0.841018912689515,0.754266536293484
"sit14",1.0575572464972,0.318859413222639,0.878063446105841,1.14852006957639,1.74790568792664,1.98179022010527,1.41376622321704,1.14295393150332,0.420195415099633,2.15596878957491,2.20283301205128,2.18569282634963,1.8290322471297,0,0.356755219663797,2.25009903951332,1.77366002509016,1.39181899116592,1.56201223706208,1.67658308197031,1.25191989015144,0.607109659236282,0.635307160055918,1.08259834618476,0.79535663737697,1.17482204370317,0.89111155353196,0.840389470514502,1.11932910060827,1.48177829972143
"sit15",1.40883579961839,0.166155612615309,0.902268381672803,1.29501697843501,1.876092945746,2.30122129756207,1.59090391821383,1.11542722112882,0.642406944221786,1.80333022471177,1.85571066151356,2.44962857991146,1.8493396361358,0.356755219663797,0,2.46675477319298,1.7848314958165,1.65162867395906,1.91101643673045,1.90539529018668,1.37061541314136,0.961125507045673,0.976341618920831,0.965881515576955,0.669432566388053,1.52216516683713,1.08534929536406,0.732447850257572,1.04931870675498,1.64455327240984
"sit16",2.09272058142283,2.30595644805063,1.69661767064452,1.20545363781862,0.802923302298774,2.86011249442029,0.894395549951314,1.69737223803759,1.84226310379861,4.02264314776296,4.13009588782866,3.43467642641434,1.32819713528918,2.25009903951332,2.46675477319298,0,1.38009651426844,0.89352701325618,1.53357817759351,0.57575308750126,1.18566654228072,1.89068061609265,1.76636378693541,1.99028849230969,3.04542888186845,2.17662523553595,2.82870764340245,2.0212289033667,1.83791362628797,0.868139641366083
"sit17",2.2961171660809,1.62876422785514,0.899324673477344,0.802653217696264,0.601632795459456,3.29590392582695,0.837640626364607,0.673057257093316,1.40510505063914,2.88567711920585,3.02014687395895,3.7150807561221,0.0760141559023415,1.77366002509016,1.7848314958165,1.38009651426844,0,1.28302070067683,2.16597964573043,1.16460548295829,0.664177842885515,1.82410686986094,1.69654717686888,0.905055845634048,2.45423164199385,2.42564675350812,2.62933387810444,1.08007873241165,0.7690544930204,0.763207777101279
"sit18",1.25313763202032,1.50201277200575,1.0608092419427,0.610129214460362,0.792296088300048,2.14451341578187,0.445430897429361,1.19774942190337,1.00948482156329,3.34285376285123,3.42922873119827,2.66039757770837,1.2783349822412,1.39181899116592,1.65162867395906,0.89352701325618,1.28302070067683,0,0.898806548453686,0.334079311776353,0.698124360813399,0.997422916645032,0.872989503623332,1.44565944192573,2.18147889958999,1.3561959272471,1.9367792933129,1.38040909673015,1.32106183691757,0.525256321101813
"sit19",0.748939038921978,1.81473591480906,1.71652609531659,1.4094285051105,1.68891624711031,1.32656365308116,1.33617602339044,1.9383936424475,1.36826354883816,3.71411951777139,3.76469885488423,1.91287271715412,2.16803944683143,1.56201223706208,1.91101643673045,1.53357817759351,2.16597964573043,0.898806548453686,0,1.14935692962241,1.53152577481,0.957699483085884,0.937170983119477,2.11911763730146,2.2083907432802,0.767209439779913,1.65051451248614,1.97211543072491,2.03251500516652,1.42108100931843
"sit20",1.58161930968228,1.74762174924079,1.19647695638128,0.699227853601989,0.589201200463975,2.44175963235656,0.409203188882021,1.26196619103148,1.27310891273688,3.52411465472065,3.62175645241739,2.97627950357384,1.14095686812855,1.67658308197031,1.90539529018668,0.57575308750126,1.16460548295829,0.334079311776353,1.14935692962241,0,0.726470724362038,1.32568191616579,1.19789194141759,1.54050458706108,2.47159680797913,1.68031965480008,2.26638531049819,1.526050225459,1.3982393696098,0.435714461713513
"sit21",1.63501875494819,1.20445981806383,0.516995379600553,0.139320920115186,0.505604567120992,2.63176647854529,0.317437739671994,0.535536489882943,0.840174226884049,2.8369941678111,2.94505272931398,3.05964005305835,0.687694944552813,1.25191989015144,1.37061541314136,1.18566654228072,0.664177842885515,0.698124360813399,1.53152577481,0.726470724362038,0,1.18117104792126,1.04897288141268,0.817910001365004,2.01336677328454,1.76341532225425,2.04290778644573,0.836441777572602,0.672581512989154,0.318264216207156
"sit22",0.533625394342876,0.883552462391114,1.05676047120189,1.04484882706769,1.59340367554768,1.54584969849987,1.20082532170172,1.3354411189662,0.536857553723228,2.76300818451071,2.80916349178304,1.8965276188573,1.85933626556176,0.607109659236282,0.961125507045673,1.89068061609265,1.82410686986094,0.997422916645032,0.957699483085884,1.32568191616579,1.18117104792126,0,0.136486821405621,1.40586488007808,1.28480873160584,0.667524657150969,0.940880055874875,1.19845671643257,1.37570689908058,1.28907962100691
"sit23",0.627659676495699,0.877975680065517,0.955411569372608,0.91182641285203,1.45695549841418,1.64643188012042,1.06440903326717,1.22936400632102,0.467890159285377,2.77802226273042,2.83197448145529,2.01976773631484,1.73001642092615,0.635307160055918,0.976341618920831,1.76636378693541,1.69654717686888,0.872989503623332,0.937170983119477,1.19789194141759,1.04897288141268,0.136486821405621,0,1.32051291987878,1.36385311133763,0.762497270031431,1.07148488088359,1.12512204598477,1.2789441025493,1.15259622031592
"sit24",1.93913188795476,0.837187364236988,0.40410010382215,0.84995572606222,1.22677635607829,2.94904950550544,1.13377242640436,0.294351368479836,0.871168586180723,2.04860739269592,2.16863716559025,3.23889780098565,0.978824407327296,1.08259834618476,0.965881515576955,1.99028849230969,0.905055845634048,1.44565944192573,2.11911763730146,1.54050458706108,0.817910001365004,1.40586488007808,1.32051291987878,0,1.61951351032623,2.07333505050758,1.97219673905694,0.243299129427762,0.155276822240204,1.13262010541261
"sit25",1.54047012534028,0.82768621914964,1.56750367808451,1.92330970090541,2.51746105095988,2.19464718624212,2.20190909849691,1.78455622401972,1.20949750628504,1.73727643637225,1.72735681951273,2.1646374189203,2.51849354855585,0.79535663737697,0.669432566388053,3.04542888186845,2.45423164199385,2.18147889958999,2.2083907432802,2.47159680797913,2.01336677328454,1.28480873160584,1.36385311133763,1.61951351032623,0,1.61205375721334,0.810689069169758,1.39479233381605,1.71398308366876,2.26549112760094
"sit26",0.134903680707644,1.48752778029985,1.71746354854169,1.62416888744448,2.09506402222915,0.884245896076936,1.69733436961192,1.9917677952423,1.2039307368691,3.26972915610562,3.29136335315574,1.31268348386054,2.45103734236495,1.17482204370317,1.52216516683713,2.17662523553595,2.42564675350812,1.3561959272471,0.767209439779913,1.68031965480008,1.76341532225425,0.667524657150969,0.762497270031431,2.07333505050758,1.61205375721334,0,0.927806451328507,1.864522365772,2.03971628789292,1.79031849075133
"sit27",0.905566321354379,1.15794885080573,1.75178022162021,1.91771619299937,2.50063157235338,1.38600149673106,2.12035441136647,2.02586633869725,1.22447044009219,2.54778875704637,2.53661411377733,1.38964827572435,2.67814280543991,0.89111155353196,1.08534929536406,2.82870764340245,2.62933387810444,1.9367792933129,1.65051451248614,2.26638531049819,2.04290778644573,0.940880055874875,1.07148488088359,1.97219673905694,0.810689069169758,0.927806451328507,0,1.72921564587466,2.00959265738952,2.20416044170163
"sit28",1.73152421450388,0.596812689528147,0.329587387324402,0.827947105416008,1.3031092986534,2.73299659490301,1.13448339744932,0.41038381152261,0.661964574767223,2.00316209893127,2.10888048288365,3.00542976023233,1.14976524680947,0.840389470514502,0.732447850257572,2.0212289033667,1.08007873241165,1.38040909673015,1.97211543072491,1.526050225459,0.836441777572602,1.19845671643257,1.12512204598477,0.243299129427762,1.39479233381605,1.864522365772,1.72921564587466,0,0.319723382228571,1.15309821159636
"sit29",1.90485722180095,0.906848006723986,0.326415889857867,0.716479889285411,1.0715633802578,2.92133829707018,0.989813763346491,0.140541717288719,0.852984545172725,2.20388118597206,2.32373386349118,3.23929541814882,0.841018912689515,1.11932910060827,1.04931870675498,1.83791362628797,0.7690544930204,1.32106183691757,2.03251500516652,1.3982393696098,0.672581512989154,1.37570689908058,1.2789441025493,0.155276822240204,1.71398308366876,2.03971628789292,2.00959265738952,0.319723382228571,0,0.984108011139325
"sit30",1.67172857209288,1.47946495561394,0.829519518366049,0.350764973179652,0.307236767874451,2.62475507084888,0.093000090575396,0.844724324602375,1.06158438383585,3.15487511815428,3.26197630402465,3.10264893208462,0.754266536293484,1.48177829972143,1.64455327240984,0.868139641366083,0.763207777101279,0.525256321101813,1.42108100931843,0.435714461713513,0.318264216207156,1.28907962100691,1.15259622031592,1.13262010541261,2.26549112760094,1.79031849075133,2.20416044170163,1.15309821159636,0.984108011139325,0
