"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23"
"sit11",2.41207126923255,0.898613340093553,0.767250314941863,0.871227974197055,3.7374692012068,0.177355747994233,2.32042899827531,0.687390932396315,0.347191812035867,0.56195099822232,0,0.120429783519444,0.943380863443835,3.19431242109087,2.50485731173408,1.2863694217822,2.24113994656261,2.63070515985228,0.67798600192947,0.579908155943877,0.329100746664988,0.880994032313147,0.08131874253144
"sit12",2.52669597931611,1.01894673482418,0.814294195727896,0.991636010233952,3.79897706164532,0.0868741318931443,2.43868191448076,0.8039570589312,0.425901246812727,0.485667430358822,0.120429783519444,0,0.998252333750891,3.27993940229441,2.61900210281168,1.38753360689962,2.34824060099141,2.74685634550227,0.720321365624184,0.700246024731393,0.271054812226853,1.00065997064416,0.199731108081524
"sit13",2.50281181600596,1.03796546471825,0.191024390100979,1.00687034804505,2.80105722456192,1.0849758254252,2.30464766432621,0.731263717276969,1.16703955708459,1.48321157032494,0.943380863443835,0.998252333750891,0,2.33550670286143,2.60061963667271,1.72697639941103,2.49171146463067,2.66454302218609,0.287949186033363,0.86054744192198,0.842911784336063,1.08619152392289,0.936443475100987
"sit14",3.03348555744599,2.67594515096402,2.52461247991087,2.67175937533642,1.034543068345,3.36202790609298,2.72635793175484,2.61926066477052,3.28283571101545,3.75625554032196,3.19431242109087,3.27993940229441,2.33550670286143,0,3.0950730129917,3.22367260579218,3.33507678373481,3.00025027570301,2.61977962701167,2.79810358555576,3.17140801692691,2.74580864411554,3.15691663446141
"sit15",0.0979368796774959,1.66352331241268,2.6211848697025,1.69681785359531,4.08701548378384,2.63330655725149,0.377647108172369,1.97958692276047,2.23865233764749,2.79089352700064,2.50485731173408,2.61900210281168,2.60061963667271,3.0950730129917,0,1.30838982552674,0.45184383692308,0.196374846431487,2.6306167348112,1.9766963343128,2.78809162236854,1.65399202162669,2.42361802921697
"sit16",1.22771004125233,0.705913652638769,1.66333481903412,0.732516647654433,4.04410886080945,1.38301621345702,1.24410133909073,0.99582160382178,0.973363450985913,1.4900736370944,1.2863694217822,1.38753360689962,1.72697639941103,3.22367260579218,1.30838982552674,0,0.973274337071308,1.4702511923943,1.63248437491129,0.891924108259828,1.60368077075877,0.647022012821436,1.20917598655434
"sit17",0.425440135108767,1.48112645671158,2.47973209544791,1.51474930242788,4.28980699477227,2.35011431219687,0.66781752080501,1.8073908545879,1.9428809522947,2.45897208216832,2.24113994656261,2.34824060099141,2.49171146463067,3.33507678373481,0.45184383692308,0.973274337071308,0,0.648145605921665,2.47293678399128,1.76531144615968,2.5461333314907,1.45357928259995,2.16147745251221
"sit18",0.247417314294801,1.76789032296693,2.69820619579817,1.80048816884967,4.00563230542873,2.7658197410658,0.365313275099103,2.0753231600148,2.37820827316046,2.94117036342674,2.63070515985228,2.74685634550227,2.66454302218609,3.00025027570301,0.196374846431487,1.4702511923943,0.648145605921665,0,2.71410780326859,2.08736785675323,2.90388257154628,1.76515862467036,2.5493961701713
"sit19",2.53285791912054,0.991915335667551,0.097061817933197,0.958369249929474,3.08411939846834,0.80716636609037,2.3635696026448,0.66565612878043,0.941114839826371,1.2025210205689,0.67798600192947,0.720321365624184,0.287949186033363,2.61977962701167,2.6306167348112,1.63248437491129,2.47293678399128,2.71410780326859,0,0.740590528128341,0.555041414691269,1.02416264644308,0.6837612432642
"sit20",1.88106025075683,0.324629312582342,0.775026691104599,0.294763292491145,3.46170351226582,0.745925068797669,1.76221735391112,0.181519117940063,0.498252681452619,1.0613048866294,0.579908155943877,0.700246024731393,0.86054744192198,2.79810358555576,1.9766963343128,0.891924108259828,1.76531144615968,2.08736785675323,0.740590528128341,0,0.818013672882191,0.322812352248844,0.503713281844319
"sit21",2.69346117755852,1.14164703069875,0.651888503707903,1.11054595468873,3.6293398256067,0.338235483277511,2.58016455488625,0.869275365107406,0.675690247625159,0.686227052273282,0.329100746664988,0.271054812226853,0.842911784336063,3.17140801692691,2.78809162236854,1.60368077075877,2.5461333314907,2.90388257154628,0.555041414691269,0.818013672882191,0,1.13894139743528,0.398472818772904
"sit22",1.55827943273926,0.0711738329038647,1.04070318878861,0.0879895513155433,3.48819912527148,1.03449890178006,1.44343718487707,0.361763263870178,0.706448684326747,1.3010219956057,0.880994032313147,1.00065997064416,1.08619152392289,2.74580864411554,1.65399202162669,0.647022012821436,1.45357928259995,1.76515862467036,1.02416264644308,0.322812352248844,1.13894139743528,0,0.800942423599031
"sit23",2.33079227490144,0.819981444754006,0.768185091394018,0.793111844903347,3.71948209843563,0.243597941095194,2.23947684402042,0.620178707069456,0.289444048114964,0.604056453814175,0.08131874253144,0.199731108081524,0.936443475100987,3.15691663446141,2.42361802921697,1.20917598655434,2.16147745251221,2.5493961701713,0.6837612432642,0.503713281844319,0.398472818772904,0.800942423599031,0
