"","Balfour Downs","Barlee Range Nat Res","Bonney Downs","Brockman Mine","Coongan River","Dresser","Marble Bar","Meentheena","Mount Bruce","Mount Elvire","Mount Florance","Newman","Pannawonica","Paraburdoo","Peedamulla","Port Hedland","Rhodes Ridge","Tom Price","Warramboo Creek","Weeli Wolli Springs","Wheelarra Hill","Wodgina","Woodstock","Yarrie"
"Paraburdoo",0.0791080399868702,0.0967809934168223,0.042436843563691,0.0101482709157631,0.0499890826392134,0.0471722244870491,0.0406442938381561,0.07273220613026,0.00490468687799734,0.0167304710128019,0.0145015288319479,0.00775642474695987,0.016767552076152,0,0.0160204694929892,0.0307529314865347,0.0082356566002382,0.00823845905470389,0.0355025687122761,0.009253216985544,0.0177580821467911,0.0428445825106081,0.0289516721851739,0.0617446699566629
"Peedamulla",0.0828577295426235,0.0962318188704426,0.0505332978633539,0.00337328196583496,0.0534073483096663,0.0506795039993829,0.0484601105198017,0.0746094023200819,0.0141272964576449,0.00489103618749542,0.00871729921772377,0.0228292506773148,0.000969157956661677,0.0160204694929892,0,0.032575542513172,0.0186546624655281,0.00978032209233396,0.0141411935425872,0.0227171916921135,0.0321461265844154,0.0476080640859004,0.0338076008009331,0.062534951565001
"Port Hedland",0.0418416678983178,0.1094769215089,0.00618170375587461,0.0265247052438159,0.00976634634730133,-0.00123530596566062,0.00587794822145882,0.0313762517048858,0.0221490887866938,0.031974815675889,0.025592434460723,0.0298517880840812,0.0320805159451075,0.0307529314865347,0.032575542513172,0,0.0175248354354487,0.0275794575112588,0.0499701907723484,0.0189802789342829,0.0262829330271652,0.00279328349910771,-5.93302767487088e-05,0.0172163240418976
"Rhodes Ridge",0.0848760285756642,0.116265854060257,0.039280689384019,0.00810307116102236,0.0467036917259212,0.0405131435677118,0.0355816761937297,0.070988363165283,0.00532074477139764,0.0227926126758047,0.0102016557515748,-0.00269119739121398,0.0227041135366672,0.0082356566002382,0.0186546624655281,0.0175248354354487,0,0.00804736977968717,0.0422044718213939,-0.0064209199168831,0.0110266831039858,0.0401558858163945,0.0207406199701345,0.0618128529906388
"Tom Price",0.072622417331704,0.0857113358749326,0.0386227910876268,0.000634292614558227,0.0491564715470873,0.0390569201688434,0.0374756784585445,0.0612632588695198,0.00291225559232285,0.00596014851290078,0.00676387924888348,0.0110293414284538,0.00830404714448619,0.00823845905470389,0.00978032209233396,0.0275794575112588,0.00804736977968717,0,0.023123580109951,0.00781592975706714,0.0201562452423013,0.0402983841253562,0.028185667490714,0.0533215823049123
"Warramboo Creek",0.105715115011846,0.123733715059248,0.0651488943276495,0.0284043020772563,0.076422239419712,0.0729197935474867,0.0713276286668136,0.0946843090243407,0.0319768005348922,0.0177981517534733,0.0235085477424606,0.0377825799992014,0.0139564942787484,0.0355025687122761,0.0141411935425872,0.0499701907723484,0.0422044718213939,0.023123580109951,0,0.044406670173811,0.0456734571224173,0.0679010408488392,0.055222893199835,0.0863147814513662
"Weeli Wolli Springs",0.0824446866978648,0.117785024597279,0.0407304790988331,0.012835701774124,0.0498919734400772,0.0479963518640409,0.0359340622174796,0.0696286196932698,0.00248885101766436,0.0193409529004278,0.0139202227835129,9.74751955445921e-05,0.0236443243628607,0.009253216985544,0.0227171916921135,0.0189802789342829,-0.0064209199168831,0.00781592975706714,0.044406670173811,0,0.00873335168409002,0.0464028810587619,0.023851911835941,0.0619278471394482
"Wheelarra Hill",0.0612596666212038,0.116889522929469,0.0371947323149291,0.0246174227212466,0.0451223394797413,0.0410213980887797,0.035579747174953,0.058063980456146,0.0157374486155942,0.0265297772134449,0.0246143442226253,0.0146968585906504,0.0303248682029539,0.0177580821467911,0.0321461265844154,0.0262829330271652,0.0110266831039858,0.0201562452423013,0.0456734571224173,0.00873335168409002,0,0.0428723976682001,0.0317809449958966,0.0478946454631757
"Wodgina",0.0473789591614382,0.12297530051976,0.0127837284631713,0.0418733469882768,0.0118971286519254,0.00589849367238956,0.0132238507170592,0.0379797455387034,0.0368492243556731,0.0477898008285278,0.0429330894395513,0.0444909581090617,0.0462229860236276,0.0428445825106081,0.0476080640859004,0.00279328349910771,0.0401558858163945,0.0402983841253562,0.0679010408488392,0.0464028810587619,0.0428723976682001,0,0.00510178600655521,0.0316195184670372
"Woodstock",0.0396921027575461,0.110860361418518,0.00815195525902578,0.0254524249976427,0.00923828676882151,0.00512307528394734,0.00892889403874946,0.0313241329406159,0.0220866679928736,0.0347720103701975,0.0251171772966671,0.0300502803680886,0.0348190002511434,0.0289516721851739,0.0338076008009331,-5.93302767487088e-05,0.0207406199701345,0.028185667490714,0.055222893199835,0.023851911835941,0.0317809449958966,0.00510178600655521,0,0.0237226578334299
"Yarrie",0.0128241101498346,0.15963366707267,0.00724442480051682,0.0589430409272658,0.00592352267042707,0.0188124373990521,0.0126479051981191,0.00361637124010699,0.0533747451044952,0.0671332855137082,0.0534193989520156,0.0573226274110012,0.0592369645025964,0.0617446699566629,0.062534951565001,0.0172163240418976,0.0618128529906388,0.0533215823049123,0.0863147814513662,0.0619278471394482,0.0478946454631757,0.0316195184670372,0.0237226578334299,0
