"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24"
"sit13",2.3331530809955,1.74907029429768,1.2342305987308,1.55458422695108,1.01859803922032,1.29381863894379,1.53894832417101,0.556990488949691,2.35452663491229,0.638678582510917,1.14318247421065,2.24476409253053,0,2.80024831281319,1.43386025602944,0.187178927238898,2.41096380446365,1.67704502649772,1.34634506324993,1.75756901708563,3.35134493160803,1.02608118145144,0.6135818883919,0.945033695573909
"sit14",0.695042429023562,1.33074583995526,2.00110264141409,2.10704252894733,2.60911074175369,2.01428408456236,1.61091093518183,2.33820104801932,3.41634240016613,2.31738500957659,3.58733857779279,3.1134150735847,2.80024831281319,0,1.62173604867501,2.9223346034523,2.67056363221477,1.64125973328732,1.86378640411803,2.35794386947721,0.937714963039525,2.02018748048224,2.52101048330254,3.74452503061309
"sit15",1.46201954343212,1.28759025769038,1.43041949053055,1.78531838072548,0.987756699207916,0.403031795817133,0.127052137020144,0.880965108493996,3.10707088393566,1.26180435362184,2.49440140507824,2.87530263012721,1.43386025602944,1.62173604867501,0,1.60477136419153,2.7243228908773,1.50523987562946,0.252325626060412,2.11030119598999,2.42105260226239,0.440997777180965,1.48275166370231,2.31206669614674
"sit16",2.42587960644301,1.81573970216453,1.24873962917263,1.53715356327056,1.1980276194611,1.4787071403834,1.71304725473943,0.735583301600523,2.23042633256843,0.67448979234225,0.956480975110612,2.13999579805324,0.187178927238898,2.9223346034523,1.60477136419153,0,2.34776364186614,1.71067043290524,1.52732206457777,1.71011415105107,3.43478218760124,1.2058204140038,0.583857028922839,0.846805806354769
"sit17",1.98966021357979,1.54880452851254,1.34783573135528,0.962830860380172,3.16162181922793,2.96813088192988,2.83866347348321,2.4908612434699,0.887190279044513,1.85016642697981,2.17695358251788,0.598577532195704,2.41096380446365,2.67056363221477,2.7243228908773,2.34776364186614,0,1.24762808259055,2.88295957906608,0.67044197267358,2.44959391228646,2.6890151336825,1.7993196890693,3.01483774524983
"sit18",0.962329604046285,0.330567740121199,0.477265765362122,0.466006740224043,2.11853020339745,1.79752364060179,1.61220858692827,1.50506832057144,1.82492275909581,1.04132428236461,2.08607357650955,1.53887736121585,1.67704502649772,1.64125973328732,1.50523987562946,1.71067043290524,1.24762808259055,0,1.69150959690876,0.743946335588578,1.82845128102715,1.55574413114295,1.15138288381049,2.54301900345851
"sit19",1.71237625223945,1.50059306831523,1.55743869201245,1.92879933123521,0.754897581562908,0.151627864004466,0.261021237723707,0.792060774718155,3.20658917182068,1.29252062187853,2.4537424525627,2.99085204905143,1.34634506324993,1.86378640411803,0.252325626060412,1.52732206457777,2.88295957906608,1.69150959690876,0,2.24884061842884,2.67297390203289,0.322463873079403,1.50020473887114,2.17296935616836
"sit20",1.66484869436835,1.07449434277017,0.693649171743289,0.326421633861732,2.49259363063243,2.32396870190544,2.23012256167159,1.8209200422012,1.08108537483002,1.18091123058471,1.71158184188117,0.799962399849901,1.75756901708563,2.35794386947721,2.11030119598999,1.71011415105107,0.67044197267358,0.743946335588578,2.24884061842884,0,2.37991740374189,2.03595038691153,1.14399601299032,2.43340920789638
"sit21",1.02649217179752,1.62948243101684,2.29188452099701,2.23457133976963,3.38071739396429,2.82407558598954,2.43998478467587,2.98242273888767,3.30781688650926,2.77040841862917,3.91438215867694,2.99940664775951,3.35134493160803,0.937714963039525,2.42105260226239,3.43478218760124,2.44959391228646,1.82845128102715,2.67297390203289,2.37991740374189,0,2.76118211644118,2.93224480412346,4.2813630863122
"sit22",1.75829041529904,1.42156621059691,1.34342700967257,1.72640466407379,0.624938684495633,0.312400048709846,0.525308308487289,0.470245395788559,2.94757085974239,1.00105711795014,2.13182630772655,2.74742117437899,1.02608118145144,2.02018748048224,0.440997777180965,1.2058204140038,2.6890151336825,1.55574413114295,0.322463873079403,2.03595038691153,2.76118211644118,0,1.19829465816814,1.87602970694352
