"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28"
"sit18",2.04638751741295,3.06819442209689,2.94252486560858,3.19132051074113,2.23837195660951,2.71355564437257,1.32881325406454,1.97654268207182,0.484611950891589,1.53727373379829,1.37333903833104,0.257010673733853,1.7052593358065,2.10482673510047,1.03572080640488,3.54414771956307,2.78327093587319,0,1.97047010901849,1.39380284076583,1.02400844815636,2.07148343002754,1.9362873345776,1.44558063063365,2.81689144075572,1.42038814759812,1.69489045241254,2.58724098833709
"sit19",1.08809471869656,1.26806383919608,0.972509543104383,1.55017189408252,0.746666671785575,1.42265572809986,1.09998589286155,1.54008173575765,1.73629976756369,1.55182416558176,0.597714937220081,1.96535952836373,0.731567558108103,0.974455545520712,1.10714209149961,1.80590159394782,1.43138549016365,1.97047010901849,0,2.30355228214023,0.948687244886489,0.750489275042854,2.12766328527857,1.09089172210008,0.873704264300776,0.660376735748324,0.689735048037887,1.73591513068518
"sit20",2.93692747717611,2.89746086092037,3.15069661392712,3.82877367550599,2.90321352606801,2.20842496344653,2.31704697976716,3.07057854252318,1.00292152117069,0.865096727018845,1.87835084303695,1.13680628218413,2.48231793389024,1.78644532117065,1.98337415046982,3.22055585251536,2.29952564419474,1.39380284076583,2.30355228214023,0,1.60994198178906,2.79371565284192,0.758849985163643,2.42748486143802,2.9018267712235,2.10966624761625,1.67115056967735,1.8208949855617
"sit21",1.32701576843352,2.07868602059956,1.92116231840455,2.29989840808876,1.34171761580129,1.86971201090479,0.759051676426398,1.50857110728802,0.820896456958589,1.1437307416481,0.356928238846844,1.02271344313035,0.876020988093371,1.25121324691086,0.4737948249201,2.58001321903417,1.92217731322117,1.02400844815636,0.948687244886489,1.60994198178906,0,1.20784619533543,1.73790441143046,0.853884774633648,1.79460328361901,0.508263531727621,0.779223002078532,1.91146063157227
"sit22",0.36512336651625,1.85119276472229,1.2373181277566,1.12034263215022,0.184741330449062,2.16228118399477,0.806109585064992,0.871496215069369,2.00949501808309,2.16239649840551,0.91677629951904,2.15789009716346,0.366298451872975,1.71970322749032,1.03816112465795,2.38501112949146,2.1632738014464,2.07148343002754,0.750489275042854,2.79371565284192,1.20784619533543,0,2.7655727198128,0.718539964525091,1.33418343464785,0.700855778921568,1.36932508210615,2.48464352750735
"sit23",2.99177968640218,2.38969656781047,2.8106618601188,3.67309835064006,2.8315826111358,1.60166888125533,2.49695588387954,3.24246452161138,1.46406929762186,0.608372317898598,1.8840063775506,1.69556311036373,2.52199115294979,1.34427013927822,2.19523794530066,2.62598248348539,1.6943526840187,1.9362873345776,2.12766328527857,0.758849985163643,1.73790441143046,2.7655727198128,0,2.58950040859812,2.51967868840271,2.16164860077872,1.43799015356429,1.13174042410341
"sit24",0.602617863050063,2.35354424338476,1.88413920187592,1.79325289119495,0.903154311028391,2.43555336239283,0.118623676065845,0.654789758095452,1.50563495340802,1.98951203185851,0.780001042538582,1.58272249473263,0.407515901183447,1.87288747850164,0.452119870790843,2.89351546076931,2.46279654000244,1.44558063063365,1.09089172210008,2.42748486143802,0.853884774633648,0.718539964525091,2.58950040859812,0,1.90349049271016,0.50756321192322,1.41506467710675,2.61759128841547
"sit25",1.69431060878558,0.550812181466457,0.325467439287189,1.46042132395897,1.20769131968049,1.20808586201175,1.93578253208133,2.20555697787231,2.52884347357015,2.05411766689234,1.45909401997514,2.78311931918896,1.50351532415898,1.17545252938478,1.97890414975741,1.06036875401461,1.15854712466326,2.81689144075572,0.873704264300776,2.9018267712235,1.79460328361901,1.33418343464785,2.51967868840271,1.90349049271016,0,1.52763650464922,1.252787168823,1.72178355020901
"sit26",0.838295371533419,1.92123867281441,1.57939181257966,1.80513203265151,0.843074918586367,1.93365121127951,0.474544530130699,1.11187774652857,1.31161434376185,1.55365757892451,0.286626938878745,1.47677234548515,0.373412446174376,1.3653553511527,0.454237391450367,2.45460703675859,1.96435213126795,1.42038814759812,0.660376735748324,2.10966624761625,0.508263531727621,0.700855778921568,2.16164860077872,0.50756321192322,1.52763650464922,0,0.909781669985111,2.11179061891191
"sit27",1.64976031575703,1.38815585479097,1.48199038538777,2.23681675887467,1.41013521729201,1.09154606615198,1.36517754611743,2.00968999716104,1.32613505925046,0.870838332452731,0.638801854461617,1.60412589299609,1.20078256290745,0.478465984315277,1.18968130813653,1.84945079006275,1.1429545308438,1.69489045241254,0.689735048037887,1.67115056967735,0.779223002078532,1.36932508210615,1.43799015356429,1.41506467710675,1.252787168823,0.909781669985111,0,1.20252853999681
"sit28",2.80540407005107,1.41337671573111,2.04574652167051,3.10800240257011,2.47544837787798,0.55479258339466,2.56590734577665,3.20195968172421,2.11696249652445,1.0914890588268,1.84006771497575,2.40567521255121,2.38158264151446,0.767728260425272,2.36520582224136,1.53331463666761,0.63744826790902,2.58724098833709,1.73591513068518,1.8208949855617,1.91146063157227,2.48464352750735,1.13174042410341,2.61759128841547,1.72178355020901,2.11179061891191,1.20252853999681,0
