"","Bessiebelle","Cape Otway","Charleville","City of Lismore","Clermont Mine","Coffs Harbour","Cooma","Coomera","Duranbah Quarry","Featherdale Wildlife Park","French Island","Gunnedah","Iluka","Isaac region","Kentlyn","Kyogle shire","Maitland","Maryborough","Mona Vale","Narrandera","Peak Downs Hwy","Port Macquarie","Redlands","Shire of Balonne","Strezlecki/East Gippsland","Tanglewood area","Tooloom","Tyagarah","Wardell","Wedderburn","Whitsunday/Mackay region"
"Narrandera",0.242999957225776,0.245796024913004,0.218098358072171,0.214886682982027,0.213476381825708,0.185307973969943,0.257314033666963,0.216231121181,0.210885783335085,0.210516197286817,0.216633327425113,0.230962850096446,0.226923321669744,0.235884518717757,0.288395635117464,0.162039787229211,0.22595672864239,0.256373029389074,0.269719315182649,0,0.254361280792626,0.189394154713224,0.220942315628745,0.195079041654852,0.238902767859559,0.200642301546064,0.178444241679688,0.219411744930897,0.192168464282312,0.293960822906057,0.208500466716441
"Peak Downs Hwy",0.393978696717524,0.406443836064234,0.122086634665433,0.180717153476811,0.0678302158925527,0.153684812660883,0.302771165324802,0.156826107773616,0.172510285785529,0.176271140710229,0.365174078967005,0.228939172201584,0.195546173514896,0.0187606218188875,0.32229633573938,0.0836519748300073,0.228234599210994,0.150928856203368,0.267993917548998,0.254361280792626,0,0.158273268459955,0.156155163180188,0.0737748058233424,0.377092260088782,0.134484142914492,0.0929437606415472,0.145662682959581,0.159892795207315,0.326437296794827,0.00462008433329651
"Port Macquarie",0.319863932874572,0.325011561385946,0.136723476060203,0.156264697156117,0.136408952837808,0.0557011105616649,0.227790419684889,0.131438293263871,0.135868730830321,0.11420334802427,0.284762574394663,0.132203618897575,0.138882564330248,0.149869467045699,0.24314368550805,0.068464736568601,0.111140036742607,0.177519912925212,0.188577135580265,0.189394154713224,0.158273268459955,0,0.134807515122381,0.103019092418224,0.305271189392448,0.105236732591179,0.158540870311524,0.129463500195771,0.14189778497779,0.259438006803518,0.12616751798699
"Redlands",0.367176748975609,0.369917659594728,0.115756366336467,0.13859233842651,0.113950784483594,0.1229969797048,0.28105735543089,0.116445984472226,0.114619338184534,0.162444331583145,0.333044235933151,0.206925714933696,0.163711546200604,0.12793931312192,0.291519936100633,0.0749790077613378,0.189777409063948,0.137773024797277,0.245838370803537,0.220942315628745,0.156155163180188,0.134807515122381,0,0.089419191760232,0.345921485100743,0.0926739798709962,0.184742417407699,0.118459702237802,0.120610122296169,0.302531745925515,0.109547193609645
"Shire of Balonne",0.340104909453212,0.351286730380986,0.0635659863997643,0.122990408116102,0.0521590871046098,0.0874651641958199,0.250651621630539,0.0904245040257971,0.101637639719262,0.120143633854413,0.308720171107021,0.17423628159878,0.125440943049378,0.0586732751158214,0.273229528414142,0.0335700211903788,0.164661858854247,0.104893683948388,0.211230550047449,0.195079041654852,0.0737748058233424,0.103019092418224,0.089419191760232,0,0.325653429854175,0.0648480636039033,0.106455050934838,0.083144284100025,0.103210508706341,0.289216390439467,0.0384226250510242
"Strezlecki/East Gippsland",0.0485329928785773,0.0557218772260675,0.348630784398091,0.364106402024699,0.32348802863242,0.313921926232326,0.268626124138202,0.339742742781642,0.346339058738304,0.311508699096719,0.046444581682964,0.322620259071945,0.362709131165342,0.356748109164625,0.320694300176882,0.305870178076005,0.322811431092337,0.357434973731078,0.356643199908923,0.238902767859559,0.377092260088782,0.305271189392448,0.345921485100743,0.325653429854175,0,0.335946207720706,0.286993082847948,0.363148027292271,0.341897404199977,0.317629548224989,0.328646158117156
"Tanglewood area",0.354161733123198,0.36775973162424,0.092722658324972,0.0875654068540849,0.101517165257481,0.0804650958626172,0.263261177795139,0.098524876891914,0.0260801330136632,0.139481640064458,0.324922125379343,0.184711603005943,0.122225065574819,0.112895781145323,0.27504619363405,0.0330691924530065,0.160360284217092,0.128329902244795,0.232677875385421,0.200642301546064,0.134484142914492,0.105236732591179,0.0926739798709962,0.0648480636039033,0.335946207720706,0,0.0781857489250692,0.0275916585108786,0.0633283510197191,0.290017681813536,0.0947377136118613
"Tooloom",0.255086891698944,0.268740937938247,0.0503285295633479,0.204922702220375,0.197370652720119,0.14984764203898,0.170555131375575,0.17990507664701,0.126043497283001,0.170990320178704,0.227104892038672,0.221018284119325,0.0750129377639195,0.153092549544721,0.209223987304722,0.0923759059821663,0.19807829026247,0.223502895856879,0.100924239645488,0.178444241679688,0.0929437606415472,0.158540870311524,0.184742417407699,0.106455050934838,0.286993082847948,0.0781857489250692,0,0.0894549569645597,0.162943783299308,0.26501136623875,0.194270241284894
"Tyagarah",0.379098074707259,0.393877422997303,0.109620015269866,0.0909770421891886,0.124917074537757,0.111577389477705,0.287164851379424,0.120772506670144,0.0628017805049794,0.162880556700087,0.352099309790611,0.209801852854504,0.148556662044624,0.138959730593232,0.298645689498863,0.045701482459102,0.189163405925233,0.16370331302277,0.248349357118035,0.219411744930897,0.145662682959581,0.129463500195771,0.118459702237802,0.083144284100025,0.363148027292271,0.0275916585108786,0.0894549569645597,0,0.0649248896322078,0.316726488219403,0.111975616870765
"Wardell",0.355943041375605,0.359029468558475,0.124104851264358,0.0284678143056748,0.135282201526431,0.119288045861279,0.272588848044158,0.125085185526932,0.0868252376734498,0.163178065119177,0.324316293773127,0.198218133491607,0.148790665497504,0.146353487204728,0.290924034160656,0.063144006227458,0.188257672673658,0.17346047789697,0.241448369782905,0.192168464282312,0.159892795207315,0.14189778497779,0.120610122296169,0.103210508706341,0.341897404199977,0.0633283510197191,0.162943783299308,0.0649248896322078,0,0.305249007908711,0.132884652005165
"Wedderburn",0.341966922866837,0.3436079552127,0.313354493729459,0.323682844506244,0.28643427870347,0.262795885621928,0.264942446083626,0.310108101675988,0.305828956357137,0.269794280398691,0.318196763916914,0.274295151547525,0.330127333449434,0.3104213991944,0.0392720497129549,0.259958549213706,0.28518433569228,0.325129033083067,0.303622367144584,0.293960822906057,0.326437296794827,0.259438006803518,0.302531745925515,0.289216390439467,0.317629548224989,0.290017681813536,0.26501136623875,0.316726488219403,0.305249007908711,0,0.282080674101849
"Whitsunday/Mackay region",0.349082259601602,0.348030613842136,0.102772862816912,0.146424117359583,0.0429595041128635,0.120037388879664,0.253935396295558,0.127054412751515,0.127810150699645,0.142354357782954,0.311923897254313,0.186209626345788,0.164965597902066,0.00741864044602291,0.268376927489099,0.0669596339260021,0.183070003913683,0.113001858169855,0.229933055639614,0.208500466716441,0.00462008433329651,0.12616751798699,0.109547193609645,0.0384226250510242,0.328646158117156,0.0947377136118613,0.194270241284894,0.111975616870765,0.132884652005165,0.282080674101849,0
