"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30","sit31"
"sit11",0.526696644445277,0.681492980557552,2.33657943786735,2.00270204004422,3.29567933661415,1.79430731791182,2.21469778970311,1.910322708727,2.06168599959666,1.49190169779812,0,2.06266323044921,1.58837002350155,3.17126665841698,0.992264805883732,1.8212081039806,1.24235109921245,2.39868894892735,1.08206467297876,2.15084049670066,3.00596019654635,1.52426529867279,1.89770731565225,3.13716104503722,0.548830501704287,2.05310256944779,1.33092239033775,1.99744506787911,1.79975436277351,1.0066431012279,3.561897520469
"sit12",1.54605469198595,2.70644158360533,1.61976984275206,1.44606067467484,1.43923032734093,2.17085805777595,1.20577529095792,1.7367199209398,2.25835528529176,0.762500475185007,2.06266323044921,0,2.34821687946048,1.63591577213489,1.27187982050037,1.2892558903802,1.3000361110204,1.67210995563409,2.41854603699465,0.593557572258378,2.26670397073045,1.67247878525673,1.68758323584635,1.08289026750101,1.51931071949839,2.38662464504875,1.09190593879026,2.54231118608824,2.25167793670184,1.31248684641689,2.87923846199141
"sit13",1.66105171667059,1.60526356604746,1.41273982044506,1.21204636052874,2.92447080564447,0.378360677189527,3.16115993036008,0.880607904523399,0.615510859462186,1.59576991634602,1.58837002350155,2.34821687946048,0,2.51655542773657,1.23613760301184,1.20685199376221,1.06808973888404,1.44448665338878,0.631686478793758,2.78081729757854,1.81323681354728,0.698848194257349,0.913184231587229,3.15099871229089,1.64235324172112,0.528636928975975,1.26844987677266,0.411272555905008,0.315337264499689,1.17299574431823,2.22512263009663
"sit14",2.76825712646125,3.65277669154161,1.10967582511845,1.32911985454635,0.623065425113661,2.16176614668561,2.80637223158444,1.63637122260477,2.04289678599993,1.72706396532731,3.17126665841698,1.63591577213489,2.51655542773657,0,2.17907562560342,1.42559950245308,1.95683558195131,1.08928663377349,2.94687038548113,2.17773205179265,1.17362219639986,1.91803789617289,1.60652879853135,1.3213724066296,2.73448542648691,2.20325413592655,1.84077289865541,2.44057770021382,2.24705178082461,2.16853552693595,1.60178905325369
"sit15",0.657739898759784,1.5236203109935,1.40079634360566,1.06613333177329,2.33133017656103,1.22017122646428,1.92633425967616,1.0805001072393,1.42768959933099,0.55330600186313,0.992264805883732,1.27187982050037,1.23613760301184,2.17907562560342,0,0.863715890010955,0.304124934660519,1.4661171187564,1.15733073317523,1.59062749252258,2.1107794693684,0.756421346384456,1.05127117395657,2.27433371067969,0.625036356570833,1.49156325918852,0.338823543156451,1.55315156294177,1.27220811728684,0.0643580743193069,2.7067057497749
"sit16",1.51875251431159,2.23951642495365,0.540268267628549,0.215779103377152,1.7407436893876,0.934803470558238,2.35525123197002,0.448381644146463,0.976233170352425,0.699203012632775,1.8212081039806,1.2892558903802,1.20685199376221,1.42559950245308,0.863715890010955,0,0.580047341509284,0.606364848023424,1.53591591703471,1.83179830194025,1.26335659703639,0.524300263405724,0.399044075006435,1.95206112348053,1.48544030963875,1.11451278346362,0.558112754095267,1.29725305509098,1.02283011129263,0.830052819869963,1.87605677143231
"sit17",0.958548354678356,1.69876625304481,1.10828026936419,0.772297578815699,2.1742817680299,0.977964353198192,2.12044373916913,0.778934283128467,1.15898340519164,0.537777772725745,1.24235109921245,1.3000361110204,1.06808973888404,1.95683558195131,0.304124934660519,0.580047341509284,0,1.17271446746315,1.14828264362116,1.71294879906221,1.81059239722493,0.481671760783726,0.748277192324321,2.21351330701674,0.926417464978864,1.23992121930181,0.208357287220327,1.33261889773998,1.04164101411128,0.257729534650202,2.40339983983625
"sit18",2.12307137968353,2.75438062263807,0.0663783287230493,0.400508849840549,1.58364295607653,1.07914080541068,2.8347539762914,0.581552069211631,0.955398313729494,1.25774479952543,2.39868894892735,1.67210995563409,1.44448665338878,1.08928663377349,1.4661171187564,0.606364848023424,1.17271446746315,0,1.93541009902115,2.25847846488018,0.663143931594526,0.933802994901016,0.565038652486439,2.02398747007487,2.08996477992935,1.11631077211761,1.16392046389766,1.35211068926215,1.16229557926826,1.42840247962837,1.28501019897223
"sit19",1.32145417401245,0.976927542888596,1.89042685120896,1.61941118376966,3.26823238393687,0.970306700804401,3.0038601269537,1.35475607706371,1.2332580042792,1.66547767400897,1.08206467297876,2.41854603699465,0.631686478793758,2.94687038548113,1.15733073317523,1.53591591703471,1.14828264362116,1.93541009902115,0,2.73871289026504,2.39438818557642,1.02891921503609,1.37085294597816,3.36141604371081,1.31416474073988,1.15979107414061,1.35023388976131,1.02367238453623,0.930497829772815,1.10974901227256,2.84368835774598
"sit20",1.62837013578912,2.82947115221838,2.20411695135221,2.00706757561929,1.87509334959724,2.65596078920997,0.628865462685926,2.27058374885688,2.776096056412,1.20196953089721,2.15084049670066,0.593557572258378,2.78081729757854,2.17773205179265,1.59062749252258,1.83179830194025,1.71294879906221,2.25847846488018,2.73871289026504,0,2.86004552121386,2.14616026444448,2.22253783848639,1.30839918190671,1.61120377990156,2.89206348864906,1.51729937063009,3.02422451297906,2.73048115135702,1.64572023655756,3.47269908054727
"sit21",2.76830006180539,3.29210930535025,0.729156231211627,1.05021360578915,1.78662481588905,1.43807065525592,3.45668829652969,1.10175310171374,1.2106143618194,1.91893492796603,3.00596019654635,2.26670397073045,1.81323681354728,1.17362219639986,2.1107794693684,1.26335659703639,1.81059239722493,0.663143931594526,2.39438818557642,2.86004552121386,0,1.48975564430524,1.10964876200667,2.39670315883362,2.73576341663998,1.34373824382315,1.82114259999281,1.57622216930941,1.49880774862276,2.06829798784777,0.625790774771513
