"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23"
"sit11",0.679157343306067,1.89589351953824,2.57178995319869,0.164544397017858,2.74475112936317,0.577325661469412,0.41265241443538,0.958184890093189,1.88385072842415,1.99009015676547,0,0.616082893987772,0.516560071713648,1.58741613147426,1.89081823751536,2.24372707392086,2.01848391753028,0.216496468483048,0.253857991750847,0.281149473455296,0.288820931819517,0.127432864569159,1.93255229741602
"sit12",0.476748201707099,2.50117187092378,2.92933538202561,0.574273484301526,3.06469430481079,0.442036008818744,0.317684637910853,0.788773669295968,2.48819037580406,2.5548776513592,0.616082893987772,0,0.321914640291223,2.08870314442625,2.49198861209934,2.83792286665622,2.46244507884068,0.505218189455615,0.583924663029272,0.406288320627173,0.902963190693732,0.653309659042394,1.85300861703213
"sit13",0.200464182606114,2.3899401640701,2.61050745463249,0.395979365442226,2.74337434866324,0.127994739141582,0.107629299530002,1.06114446223919,2.28179040050119,2.50531819032142,0.516560071713648,0.321914640291223,0,2.09794378802758,2.38967784023557,2.74740308877227,2.51443607635841,0.318921168061754,0.358144049274315,0.465377965954078,0.789951018151325,0.610459298481143,2.12467610269352
"sit14",2.26645586547122,0.92774204794753,3.28082383214425,1.73662995504877,3.5217523249336,2.1645435269959,1.99090572636241,1.75626090204571,1.61041622142793,0.607536969119741,1.58741613147426,2.08870314442625,2.09794378802758,0,0.865064423001678,1.03047050255495,0.4995927132633,1.80181611595301,1.81326217338759,1.6882427214984,1.35604999711111,1.4876681982227,1.91443097344596
"sit15",2.50947431619928,0.0719083059751485,2.75421746588462,1.99375435671317,3.00945585605336,2.41283382776949,2.29413033269742,2.39884415797542,0.895039131267952,0.428523305260779,1.89081823751536,2.49198861209934,2.38967784023557,0.865064423001678,0,0.366410740290323,1.18609863431217,2.07079635350419,2.04284023639181,2.09394487944135,1.60417438125812,1.83867925667909,2.75223273853547
"sit16",2.87135142378557,0.390178233331015,3.01567635594442,2.35191943935058,3.27311099790898,2.7739999383746,2.65027712011822,2.69340479727599,1.12913446090139,0.435043802252971,2.24372707392086,2.83792286665622,2.74740308877227,1.03047050255495,0.366410740290323,0,1.20828585710238,2.42852965968771,2.40342940111533,2.43622529039026,1.95918670150131,2.18545663896936,2.94421954108642
"sit17",2.69404751317441,1.25722393994211,3.7645465594417,2.17551744707018,4.00835690637279,2.59306566734024,2.40682510923714,2.0016585569137,2.02955163146697,0.792646670516759,2.01848391753028,2.46244507884068,2.51443607635841,0.4995927132633,1.18609863431217,1.20828585710238,0,2.23497524664505,2.25716819372192,2.07757701876391,1.81272313171683,1.90796355641542,1.88511655620223
"sit18",0.465181737728346,2.07138782200018,2.5059441551924,0.0777936019449669,2.66353074807264,0.363223588033848,0.227101031132391,1.03615853756001,1.99156813435004,2.19072617881364,0.216496468483048,0.505218189455615,0.318921168061754,1.80181611595301,2.07079635350419,2.42852965968771,2.23497524664505,0,0.0921051268553811,0.330615170123741,0.472422195327839,0.334048452431837,2.05988359208279
"sit19",0.470119418561454,2.04038057707957,2.41390877974856,0.089969431037662,2.57208028469902,0.370954674605597,0.284443175046798,1.12587616432303,1.92843026801499,2.18013092674875,0.253857991750847,0.583924663029272,0.358144049274315,1.81326217338759,2.04284023639181,2.40342940111533,2.25716819372192,0.0921051268553811,0,0.418598687308318,0.463768626072376,0.380497087456725,2.14349893124762
"sit20",0.664070456584164,2.10584972903805,2.8234079437226,0.349108961907472,2.98692930668687,0.574939905002863,0.365518208906038,0.708015493815463,2.15137927275593,2.14865556175393,0.281149473455296,0.406288320627173,0.465377965954078,1.6882427214984,2.09394487944135,2.43622529039026,2.07757701876391,0.330615170123741,0.418598687308318,0,0.535382020587808,0.264524078799478,1.73135184260667
"sit21",0.931036305175825,1.60803599404654,2.47806463294872,0.398097381958806,2.6702444353914,0.830044163150818,0.691198582172171,1.11870981383966,1.61742530244285,1.71923275707891,0.288820931819517,0.902963190693732,0.789951018151325,1.35604999711111,1.60417438125812,1.95918670150131,1.81272313171683,0.472422195327839,0.463768626072376,0.535382020587808,0,0.274138629876102,1.99606916233038
"sit22",0.78610286392207,1.84824421282194,2.66863388610052,0.29068355904937,2.84713159387181,0.685319107572724,0.503263385282719,0.874995944887961,1.89149537538609,1.91379311021522,0.127432864569159,0.653309659042394,0.610459298481143,1.4876681982227,1.83867925667909,2.18545663896936,1.90796355641542,0.334048452431837,0.380497087456725,0.264524078799478,0.274138629876102,0,1.82102145118226
"sit23",2.31443000557961,2.80569130278271,4.47397251575284,2.06322700001712,4.66229082475124,2.25196230287093,2.05430809823713,1.06607303852196,3.29698410071409,2.51499130082411,1.93255229741602,1.85300861703213,2.12467610269352,1.91443097344596,2.75223273853547,2.94421954108642,1.88511655620223,2.05988359208279,2.14349893124762,1.73135184260667,1.99606916233038,1.82102145118226,0
